OldId,NewId,SynId
353842,1141,
353843,1142,
353838,1143,
353839,1144,
362480,1145,
353852,1146,
133327,1147,
163396,1148,
323048,1149,
353848,1150,
294465,1151,
353865,1152,
353853,1153,
353855,1154,
353856,1155,
355787,1156,
355786,1157,
353831,1158,
353849,1159,
355789,1160,
142734,1161,
142733,1162,
529104,1163,
353840,1164,
237456,1165,
142725,1166,
353860,1167,
282033,1168,
365286,1169,174979
353858,1170,142734
142746,1171,30720
351169,1172,
329917,1173,
353861,1174,
354173,1175,
132450,1176,
350254,1177,
287471,1178,
133323,1179,
235171,1180,
353857,1181,
355788,1182,343431
343431,1183,
174979,1184,
30720,1185,
353864,1186,30720
142763,1187,
141807,1188,
163393,1189,
141806,1190,
353836,1191,
122437,1192,
353828,1193,
142773,1194,
525723,1195,
353948,1196,
353829,1197,
311509,1198,
354177,1199,
142779,1200,
163402,1201,
158205,1202,
105565,1203,
293239,1204,
293236,1205,
199931,1206,
518185,1207,
112426,1208,
297286,1209,
158213,1210,
105568,1211,
378140,1212,
173930,1213,
119336,1214,
139319,1215,
173948,1216,
173947,1217,
293191,1218,
388146,1219,
301559,1220,
387334,1221,
516567,1222,
517782,1223,
307216,1224,
378137,1225,
378142,1226,
378136,1227,
119342,1228,
293192,1229,
361002,1230,
500531,1231,
302126,1232,
378134,1233,
521605,1234,
293194,1235,
500543,1236,
173936,1237,
173946,1238,
378984,1239,
388253,1240,
194078,1241,
388254,1242,
158218,1243,
199782,1244,
199801,1245,
199915,1246,380389
237223,1247,
279953,1248,
199873,1249,318439
327174,1250,
199875,1251,
310560,1252,
199876,1253,
380389,1254,
199854,1255,
199910,1256,
364573,1257,
246060,1258,
310559,1259,
199886,1260,267553
199887,1261,
199895,1262,364573
139350,1263,
199868,1264,
139378,1265,237223
246049,1266,
286298,1267,
364548,1268,
246050,1269,
203333,1270,
199853,1271,
199862,1272,
199918,1273,
106106,1274,
304068,1275,
265848,1276,
320734,1277,
199837,1278,
349227,1279,
124421,1280,
133280,1281,
337867,1282,370632
311806,1283,
258689,1284,
203334,1285,
233043,1286,
311754,1287,
370632,1288,
199730,1289,
251828,1290,
506748,1291,
364570,1292,
199819,1293,
112370,1294,
112371,1295,
133284,1296,
199812,1297,
265849,1298,
251824,1299,
199811,1300,
139317,1301,
311758,1302,
337904,1303,
139318,1304,
318439,1305,
310557,1306,
199860,1307,
297119,1308,
199839,1309,
139349,1310,
337894,1311,
133285,1312,
346141,1313,
199733,1314,
199773,1315,
199774,1316,
387294,1317,
337878,1318,
311807,1319,311806
307217,1320,
337912,1321,
251825,1322,
337880,1323,
301818,1324,
199823,1325,
330675,1326,
265855,1327,
337890,1328,
347163,1329,
199834,1330,
252187,1331,
199883,1332,
520203,1333,
517177,1334,
251835,1335,
199903,1336,
112373,1337,
267553,1338,
310558,1339,
388706,1340,
124424,1341,
